fecha,producto,inflacion_interanual,compra,dolar_interanual
2022-11-01,Pollo fresco,1.5693219603874375,54.206,-3.9906764365708947
2022-12-01,Pollo fresco,5.708997310350816,55.2363,-2.7949212047620353
2023-01-01,Pollo fresco,-1.5629779724165016,56.3664,-2.0123774424588015
2023-02-01,Pollo fresco,9.298097433181107,55.8418,-0.9551208489490093
2023-03-01,Pollo fresco,5.025090750085037,54.7709,-0.09813095192495735
2023-04-01,Pollo fresco,1.8043562314731254,54.5299,-0.7599981800809896
2023-05-01,Pollo fresco,-3.163827420284404,54.3775,-1.2381218760897372
2023-06-01,Pollo fresco,-6.122882994354651,54.7738,0.07454369393236071
2023-07-01,Pollo fresco,-3.0612231586088057,55.7369,2.326055307610253
2023-08-01,Pollo fresco,5.953820099409324,56.4882,5.450601474003336
2023-09-01,Pollo fresco,6.927738863009991,56.6217,6.486811791809677
2023-10-01,Pollo fresco,7.252003829063747,56.6767,5.594722192205492
2023-11-01,Pollo fresco,4.345140238130818,56.708,4.615725196472709
2023-12-01,Pollo fresco,0.9813001012284106,57.2327,3.6142898782141497
2024-02-01,Pollo fresco,-0.4849972244134748,58.5124,3.807232677623551
2024-03-01,Pollo fresco,-2.2585398438727977,58.8773,5.435892109495044
2024-04-01,Pollo fresco,-3.280398104641258,58.7895,7.337107843763757
2024-05-01,Pollo fresco,-6.688854685136681,58.3908,7.080335742409205
2024-06-01,Pollo fresco,0.1977895734859514,58.9869,8.476667739414289
2024-07-01,Pollo fresco,5.203437883998885,58.9809,7.68086201797209
2024-08-01,Pollo fresco,5.130037432316681,59.4609,6.681390604787851
2024-09-01,Pollo fresco,2.09913297952522,59.8079,5.876802588859253
2024-10-01,Pollo fresco,-2.345769745666648,59.9901,5.948955965645686
2024-11-01,Pollo fresco,-5.557653688217479,60.08370000000001,6.011288589490937
2024-12-01,Pollo fresco,-0.07093340172039664,60.5631,6.79815898991325
2025-01-01,Pollo fresco,1.901059816972106,61.2609,7.038284057889976
2025-02-01,Pollo fresco,0.4898964691689489,61.9837,5.932588647876336
2025-03-01,Pollo fresco,-1.1676593144398506,62.7121,6.513206278141159
2025-04-01,Pollo fresco,-1.334579633380062,60.4155,2.7658000153088613
2025-05-01,Pollo fresco,2.498173766069245,58.7366,0.5922165820642977
2025-06-01,Pollo fresco,1.9085830637340706,59.0169,0.05085874999364304
2025-07-01,Pollo fresco,-1.1220162491704877,60.1943,2.0572761690649033
2025-08-01,Pollo fresco,1.6689825645213707,61.7014,3.7680223474585883
2025-09-01,Pollo fresco,0.2693189577763766,62.4361,4.394402746125525
2025-10-01,Pollo fresco,3.8724685549330617,63.2408,5.418727423358183
2025-11-01,Pollo fresco,9.560785840428343,63.3838,5.492504622717953
2025-12-01,Pollo fresco,10.836898446820875,63.0851,4.1642518299096265
2026-01-01,Pollo fresco,16.260184758058394,63.1114,3.020686930815586
2026-02-01,Pollo fresco,13.998098306403751,61.6124,-0.5990284542549018
2026-03-01,Pollo fresco,13.917667652398634,59.8943,-4.493231768669837
2026-04-01,Pollo fresco,12.235387811634357,59.6398,-1.2839420347427355
2026-05-01,Pollo fresco,5.451899390277903,58.7974,0.10351297146924399
