"row_id","period","year","month","series","value"
55,2024-09-01,2024,9,"Región Sur",37027.7844291952
56,2024-10-01,2024,10,"Región Este",42433.1292094346
56,2024-10-01,2024,10,"Región Norte o Cibao",43695.745241969
56,2024-10-01,2024,10,"Región Ozama*",52977.4892603518
56,2024-10-01,2024,10,"Región Sur",37033.2125008172
57,2024-11-01,2024,11,"Región Este",42459.1904234116
57,2024-11-01,2024,11,"Región Norte o Cibao",43796.5941896831
57,2024-11-01,2024,11,"Región Ozama*",53063.5040284359
57,2024-11-01,2024,11,"Región Sur",37051.8507263356
58,2024-12-01,2024,12,"Región Este",42735.6999037072
58,2024-12-01,2024,12,"Región Norte o Cibao",44096.3359627565
58,2024-12-01,2024,12,"Región Ozama*",53457.4508347987
58,2024-12-01,2024,12,"Región Sur",37295.864701139
60,2025-01-01,2025,1,"Región Este",42897.8006546439
60,2025-01-01,2025,1,"Región Norte o Cibao",44310.1223744339
60,2025-01-01,2025,1,"Región Ozama*",53595.4735656054
60,2025-01-01,2025,1,"Región Sur",37455.189680942
61,2025-02-01,2025,2,"Región Este",43055.6990348269
61,2025-02-01,2025,2,"Región Norte o Cibao",44425.4975778618
61,2025-02-01,2025,2,"Región Ozama*",53805.7503645273
61,2025-02-01,2025,2,"Región Sur",37530.0195254453
62,2025-03-01,2025,3,"Región Este",43202.5865521045
62,2025-03-01,2025,3,"Región Norte o Cibao",44535.8637275953
62,2025-03-01,2025,3,"Región Ozama*",53996.6540934021
62,2025-03-01,2025,3,"Región Sur",37645.8091553004
63,2025-04-01,2025,4,"Región Este",43323.8037736149
63,2025-04-01,2025,4,"Región Norte o Cibao",44591.6311920597
63,2025-04-01,2025,4,"Región Ozama*",53950.3416469808
63,2025-04-01,2025,4,"Región Sur",37619.2226820498
64,2025-05-01,2025,5,"Región Este",43440.232247057
64,2025-05-01,2025,5,"Región Norte o Cibao",44611.7341942199
64,2025-05-01,2025,5,"Región Ozama*",53990.4181266488
64,2025-05-01,2025,5,"Región Sur",37639.5225621464
65,2025-06-01,2025,6,"Región Este",43531.902567221
65,2025-06-01,2025,6,"Región Norte o Cibao",44675.582931978
65,2025-06-01,2025,6,"Región Ozama*",54106.4071082605
65,2025-06-01,2025,6,"Región Sur",37763.6481591352
66,2025-07-01,2025,7,"Región Este",43711.724943662
66,2025-07-01,2025,7,"Región Norte o Cibao",44861.018099745
66,2025-07-01,2025,7,"Región Ozama*",54275.9006846156
66,2025-07-01,2025,7,"Región Sur",37941.0851738402
67,2025-08-01,2025,8,"Región Este",43974.5522866197
67,2025-08-01,2025,8,"Región Norte o Cibao",45238.8677167599
67,2025-08-01,2025,8,"Región Ozama*",54638.2934992067
67,2025-08-01,2025,8,"Región Sur",38175.5169405762
68,2025-09-01,2025,9,"Región Este",44115.6411837875
68,2025-09-01,2025,9,"Región Norte o Cibao",45437.8607231932
68,2025-09-01,2025,9,"Región Ozama*",54797.3106514163
68,2025-09-01,2025,9,"Región Sur",38274.6346361637
69,2025-10-01,2025,10,"Región Este",44325.6945684418
69,2025-10-01,2025,10,"Región Norte o Cibao",45671.3494127352
69,2025-10-01,2025,10,"Región Ozama*",55126.7359884381
69,2025-10-01,2025,10,"Región Sur",38483.6430878538
70,2025-11-01,2025,11,"Región Este",44621.59
70,2025-11-01,2025,11,"Región Norte o Cibao",45993.13
70,2025-11-01,2025,11,"Región Ozama*",55522.89
70,2025-11-01,2025,11,"Región Sur",38779.17
71,2025-12-01,2025,12,"Región Este",44921.8122616474
71,2025-12-01,2025,12,"Región Norte o Cibao",46392.0854519781
71,2025-12-01,2025,12,"Región Ozama*",55965.9308209877
71,2025-12-01,2025,12,"Región Sur",39187.7969095938
73,2026-01-01,2026,1,"Región Este",45256.8291673213
73,2026-01-01,2026,1,"Región Norte o Cibao",46586.2029794821
73,2026-01-01,2026,1,"Región Ozama*",56106.0322073789
73,2026-01-01,2026,1,"Región Sur",39393.0666384831
74,2026-02-01,2026,2,"Región Este",45330.6801324286
74,2026-02-01,2026,2,"Región Norte o Cibao",46573.3798020244
74,2026-02-01,2026,2,"Región Ozama*",56144.8199205846
74,2026-02-01,2026,2,"Región Sur",39347.011112425
75,2026-03-01,2026,3,"Región Este",45497.4719018811
75,2026-03-01,2026,3,"Región Norte o Cibao",46764.7256531508
75,2026-03-01,2026,3,"Región Ozama*",56240.7706623622
75,2026-03-01,2026,3,"Región Sur",39420.0131368923
76,2026-04-01,2026,4,"Región Este",45706.319955389
76,2026-04-01,2026,4,"Región Norte o Cibao",47017.6494710272
76,2026-04-01,2026,4,"Región Ozama*",56505.3419451496
76,2026-04-01,2026,4,"Región Sur",39596.6470185512
77,2026-05-01,2026,5,"Región Este",45938.264759784
77,2026-05-01,2026,5,"Región Norte o Cibao",47178.139551396
77,2026-05-01,2026,5,"Región Ozama*",56658.372569276
77,2026-05-01,2026,5,"Región Sur",39658.6544285597
78,2026-06-01,2026,6,"Región Este",46171.8383900526
78,2026-06-01,2026,6,"Región Norte o Cibao",47410.0587374472
78,2026-06-01,2026,6,"Región Ozama*",56939.9472547441
78,2026-06-01,2026,6,"Región Sur",39903.9146442967
