"row_id","period","year","month","series","value"
68,2022-12-01,2022,12,"Quintil 5",70921.748276644
70,2023-01-01,2023,1,"Nacional",43484.9353989798
70,2023-01-01,2023,1,"Quintil 1",25908.5955184937
70,2023-01-01,2023,1,"Quintil 2",33787.9663788206
70,2023-01-01,2023,1,"Quintil 3",39959.7084383046
70,2023-01-01,2023,1,"Quintil 4",46341.8487862928
70,2023-01-01,2023,1,"Quintil 5",71188.6739920138
71,2023-02-01,2023,2,"Nacional",43531.6389902075
71,2023-02-01,2023,2,"Quintil 1",25928.0428436667
71,2023-02-01,2023,2,"Quintil 2",33803.9636986751
71,2023-02-01,2023,2,"Quintil 3",39986.1953519893
71,2023-02-01,2023,2,"Quintil 4",46353.9498680185
71,2023-02-01,2023,2,"Quintil 5",71299.9423611702
72,2023-03-01,2023,3,"Nacional",43625.2230802056
72,2023-03-01,2023,3,"Quintil 1",25987.8330242518
72,2023-03-01,2023,3,"Quintil 2",33889.6442592518
72,2023-03-01,2023,3,"Quintil 3",40086.0057950209
72,2023-03-01,2023,3,"Quintil 4",46462.1032859422
72,2023-03-01,2023,3,"Quintil 5",71465.0693558225
73,2023-04-01,2023,4,"Nacional",43731.5445132657
73,2023-04-01,2023,4,"Quintil 1",26071.828918084
73,2023-04-01,2023,4,"Quintil 2",33986.9838834513
73,2023-04-01,2023,4,"Quintil 3",40190.6614051899
73,2023-04-01,2023,4,"Quintil 4",46594.4588673174
73,2023-04-01,2023,4,"Quintil 5",71584.0318143354
74,2023-05-01,2023,5,"Nacional",43645.2136325114
74,2023-05-01,2023,5,"Quintil 1",25993.005185202
74,2023-05-01,2023,5,"Quintil 2",33897.2362076573
74,2023-05-01,2023,5,"Quintil 3",40109.9086195657
74,2023-05-01,2023,5,"Quintil 4",46501.0536427469
74,2023-05-01,2023,5,"Quintil 5",71502.9479495779
75,2023-06-01,2023,6,"Nacional",43741.0975205623
75,2023-06-01,2023,6,"Quintil 1",26068.7256215139
75,2023-06-01,2023,6,"Quintil 2",33993.7624088134
75,2023-06-01,2023,6,"Quintil 3",40223.6085417246
75,2023-06-01,2023,6,"Quintil 4",46601.2657257881
75,2023-06-01,2023,6,"Quintil 5",71592.9096097468
76,2023-07-01,2023,7,"Nacional",43939.7293093143
76,2023-07-01,2023,7,"Quintil 1",26192.8367956764
76,2023-07-01,2023,7,"Quintil 2",34153.9254060687
76,2023-07-01,2023,7,"Quintil 3",40392.5110681363
76,2023-07-01,2023,7,"Quintil 4",46802.7865524019
76,2023-07-01,2023,7,"Quintil 5",71909.3734235124
77,2023-08-01,2023,8,"Nacional",44166.1002007349
77,2023-08-01,2023,8,"Quintil 1",26335.9401448483
77,2023-08-01,2023,8,"Quintil 2",34344.4290828446
77,2023-08-01,2023,8,"Quintil 3",40617.036113286
77,2023-08-01,2023,8,"Quintil 4",47054.6024999383
77,2023-08-01,2023,8,"Quintil 5",72158.2476215456
78,2023-09-01,2023,9,"Nacional",44356.1696644285
78,2023-09-01,2023,9,"Quintil 1",26482.3122997407
78,2023-09-01,2023,9,"Quintil 2",34547.8661860114
78,2023-09-01,2023,9,"Quintil 3",40838.2341436679
78,2023-09-01,2023,9,"Quintil 4",47298.174585549
78,2023-09-01,2023,9,"Quintil 5",72340.6567245988
79,2023-10-01,2023,10,"Nacional",44452.4781305815
79,2023-10-01,2023,10,"Quintil 1",26542.7852055712
79,2023-10-01,2023,10,"Quintil 2",34620.9115753132
79,2023-10-01,2023,10,"Quintil 3",40921.0865017184
79,2023-10-01,2023,10,"Quintil 4",47401.9413613471
79,2023-10-01,2023,10,"Quintil 5",72555.3218176468
80,2023-11-01,2023,11,"Nacional",44513.2635621946
80,2023-11-01,2023,11,"Quintil 1",26573.7767939851
80,2023-11-01,2023,11,"Quintil 2",34653.9094367759
80,2023-11-01,2023,11,"Quintil 3",40949.7375900579
80,2023-11-01,2023,11,"Quintil 4",47434.2739390831
80,2023-11-01,2023,11,"Quintil 5",72676.4741323612
81,2023-12-01,2023,12,"Nacional",44752.8671377964
81,2023-12-01,2023,12,"Quintil 1",26798.7037293902
81,2023-12-01,2023,12,"Quintil 2",34890.8053411299
81,2023-12-01,2023,12,"Quintil 3",41187.6029953927
81,2023-12-01,2023,12,"Quintil 4",47653.9842041659
81,2023-12-01,2023,12,"Quintil 5",72991.8726106774
83,2024-01-01,2024,1,"Nacional",44927.2979747304
83,2024-01-01,2024,1,"Quintil 1",26861.638583833
83,2024-01-01,2024,1,"Quintil 2",34995.7369137349
83,2024-01-01,2024,1,"Quintil 3",41360.7692688853
83,2024-01-01,2024,1,"Quintil 4",47875.6230791487
83,2024-01-01,2024,1,"Quintil 5",73192.0373045533
84,2024-02-01,2024,2,"Nacional",44967.9867095122
