PERIODO,CÓD_MES,MES,CÓD_REGIÓN,REGIÓN,CÓD_PROVINCIA,PROVINCIA,CÓD_MUNICIPIO,MUNICIPIO,CÓD_CAPITULO,UNIDAD_EJECUTORA,CÓD_ECO_TITULO,ECO_TITULO,CÓD_ECO_SUB_TITULO,ECO_SUB_TITULO,CÓD_CONCEPTO,CONCEPTO,CÓD_CUENTA,DES_CUENTA,PERCIBIDO
2023,12,Diciembre,02,Región Cibao Sur,24,Sánchez Ramírez,0004,La Mata,7312,Villa La Mata,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,3000
2023,12,Diciembre,05,Región Valdesia,17,Peravia,0001,Baní,7313,Villa Sombrero,1.2,Ingresos de capital,1.2.4,Transferencias de capital recibidas,1.4,Transferencias,1.4.2,Transferencias de capital,506662.86
2023,12,Diciembre,05,Región Valdesia,17,Peravia,0001,Baní,7313,Villa Sombrero,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,293075
2023,12,Diciembre,05,Región Valdesia,17,Peravia,0001,Baní,7313,Villa Sombrero,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,15000
2023,12,Diciembre,05,Región Valdesia,17,Peravia,0001,Baní,7313,Villa Sombrero,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,6000
2023,12,Diciembre,02,Región Cibao Sur,28,Monsenor Nouel,0003,Piedra Blanca,7314,Villa Sonador,1.2,Ingresos de capital,1.2.4,Transferencias de capital recibidas,1.4,Transferencias,1.4.2,Transferencias de capital,565782.37
2023,12,Diciembre,02,Región Cibao Sur,28,Monsenor Nouel,0003,Piedra Blanca,7314,Villa Sonador,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,7119
2023,12,Diciembre,02,Región Cibao Sur,28,Monsenor Nouel,0003,Piedra Blanca,7314,Villa Sonador,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,10000
2023,12,Diciembre,02,Región Cibao Sur,28,Monsenor Nouel,0003,Piedra Blanca,7314,Villa Sonador,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,100000
2023,12,Diciembre,02,Región Cibao Sur,28,Monsenor Nouel,0003,Piedra Blanca,7314,Villa Sonador,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,700
