salario,sfs_empleador,pension_empleador,riesgos_bajo,infotep,salario_neto_sin_isr,costo_directo_bajo,sueldo_13,vacaciones_14_dias,costo_anualizado_bajo
73701.25,5225.418625,5232.78875,810.71375,737.0125,69345.506125,85707.18362499999,6141.770833333333,2866.159722222222,94715.11418055554
74201.25,5260.868625,5268.28875,816.21375,742.0125,69815.95612500001,86288.633625,6183.4375,2885.6041666666665,95357.67529166667
74701.25,5296.318625000001,5303.78875,821.71375,747.0125,70286.406125,86870.08362499998,6225.104166666667,2905.0486111111113,96000.23640277777
75201.25,5331.768625000001,5339.28875,827.21375,752.0125,70756.85612499999,87451.533625,6266.770833333333,2924.4930555555557,96642.79751388889
75701.25,5367.218625,5374.78875,832.71375,757.0125,71227.306125,88032.98362499998,6308.4375,2943.9375,97285.35862499998
76201.25,5402.668625,5410.28875,838.21375,762.0125,71697.756125,88614.43362499999,6350.104166666667,2963.3819444444443,97927.9197361111
76701.25,5438.118625,5445.78875,843.71375,767.0125,72168.20612500001,89195.883625,6391.770833333333,2982.8263888888887,98570.48084722222
77201.25,5473.568625000001,5481.28875,849.21375,772.0125,72638.656125,89777.33362499998,6433.4375,3002.2708333333335,99213.04195833331
77701.25,5509.018625000001,5516.78875,854.71375,777.0125,73109.10612499999,90358.783625,6475.104166666667,3021.715277777778,99855.60306944445
78201.25,5544.468625,5552.28875,860.21375,782.0125,73579.556125,90940.23362499998,6516.770833333333,3041.159722222222,100498.16418055553
78701.25,5579.918625,5587.78875,865.71375,787.0125,74050.006125,91521.68362499999,6558.4375,3060.6041666666665,101140.72529166666
79201.25,5615.368625,5623.28875,871.21375,792.0125,74520.45612500001,92103.133625,6600.104166666667,3080.0486111111113,101783.28640277778
79701.25,5650.818625000001,5658.78875,876.71375,797.0125,74990.906125,92684.58362499998,6641.770833333333,3099.4930555555557,102425.84751388888
80201.25,5686.268625000001,5694.28875,882.21375,802.0125,75461.35612499999,93266.033625,6683.4375,3118.9375,103068.408625
